age,years_cdl,years_owner_op,fico_score,is_foreign_born,violations_3y,avg_weekly_miles,loads_per_month,freight_type,unique_brokers_6m,on_time_delivery_pct,avg_days_between_loads,gross_weekly_revenue,net_weekly_income,payment_to_income_ratio,avg_account_balance,prior_late_payments,region,contract_start_month,default_12m
45,22,21,647,1,0,2451,8,dry_van,2,86.3,2.39,5858,1562,0.443,7748,2,west,9,0
32,8,2,728,1,0,2784,13,reefer,7,83.9,3.37,7415,2342,0.295,550,0,midwest,1,0
50,28,21,748,1,1,3009,16,flatbed,3,77.1,2.55,7757,2538,0.273,6234,0,west,4,0
51,25,23,675,1,0,2798,12,reefer,3,84.8,1.6,7356,2068,0.335,992,1,west,1,0
22,1,0,790,0,1,2567,12,dry_van,4,86.5,2.31,6494,1160,0.597,2983,0,northeast,10,0
29,4,1,615,0,1,2344,13,reefer,2,91.7,0.9,6030,1765,0.392,1547,2,midwest,11,0
43,21,17,526,0,1,3016,5,dry_van,1,90.8,2.14,6690,2142,0.323,1176,0,midwest,9,0
39,17,13,714,1,2,2210,13,dry_van,5,73.3,3.67,5008,683,1.013,1512,1,midwest,11,0
42,15,13,511,1,2,2217,15,dry_van,4,72.3,3.82,3931,714,0.969,3361,2,northeast,10,1
33,10,1,587,1,2,3209,12,dry_van,2,98.2,8.05,6623,1888,0.366,8964,1,midwest,11,0
51,28,27,676,1,0,2762,16,dry_van,6,79.4,2.04,4511,802,0.863,994,1,midwest,1,0
50,26,23,633,1,0,2778,16,dry_van,2,91.9,1.9,5941,1016,0.681,1266,0,midwest,4,0
43,19,16,627,1,2,2869,10,reefer,6,73.9,2.57,6399,1244,0.556,3417,1,west,3,0
53,29,17,557,0,0,2557,14,dry_van,8,71.1,4.55,4684,1183,0.585,3288,0,west,10,0
47,24,13,639,1,2,1953,12,dry_van,3,67.9,6.81,4380,775,0.893,645,0,south,1,0
33,12,12,710,0,1,2713,5,dry_van,9,52.7,6.52,5457,1310,0.528,135,3,west,12,0
46,25,24,641,1,1,2592,11,dry_van,5,75.2,1.1,5491,1128,0.613,474,3,northeast,10,0
32,10,0,582,1,1,2213,8,dry_van,6,66.7,3.25,4943,1371,0.505,993,0,midwest,5,0
51,25,24,553,0,0,2110,12,dry_van,4,77.3,4.42,3912,454,1.525,1714,1,northeast,5,0
42,13,12,583,1,2,2579,14,dry_van,5,92.8,10.72,5920,1096,0.631,4792,2,midwest,6,0
40,17,16,667,1,0,1989,11,reefer,6,71.0,5.58,4797,909,0.761,390,1,west,10,0
35,13,2,664,0,2,2535,9,dry_van,6,80.2,1.3,5711,1728,0.4,1431,2,south,4,0
54,23,22,584,1,0,2481,13,reefer,3,53.4,7.73,5572,902,0.767,9775,1,west,1,0
40,17,13,485,1,1,2546,21,dry_van,1,66.6,2.24,6021,1251,0.553,976,2,west,7,1
38,13,12,669,1,1,2781,4,reefer,4,74.5,5.94,6688,1915,0.361,6534,2,midwest,9,0
38,15,12,577,0,0,2880,13,dry_van,1,85.3,6.57,6297,1404,0.493,4795,2,southeast,9,0
47,25,14,688,0,1,2280,10,flatbed,3,90.3,3.73,5634,1340,0.516,7803,1,midwest,8,0
46,23,11,587,0,1,2991,11,dry_van,4,92.2,1.34,5567,1141,0.607,897,2,northeast,11,0
46,22,21,571,0,0,2501,12,flatbed,3,72.4,2.88,6417,1509,0.458,1817,2,west,8,0
